,location,floor,floors_count,rooms_count,total_meters,price,year_of_construction,living_meters,kitchen_meters,district,underground,meter_price
2767,Москва,5.0,10.0,4.0,93.0,31000000.0,2000.0,64.1,10.2,Академический,Академическая,333333.33
2769,Москва,16.0,26.0,1.0,38.0,21700000.0,2023.0,,16.0,Лефортово,Авиамоторная,571052.63
2770,Москва,2.0,4.0,1.0,21.7,15450000.0,1906.0,,,Хамовники,Парк Культуры,711981.57
2771,Москва,12.0,17.0,1.0,37.9,13500000.0,2007.0,18.9,7.3,Нагорный,Варшавская,356200.53
2772,Москва,3.0,8.0,2.0,51.0,15770000.0,1960.0,28.2,8.0,Тимирязевский,Петровско-Разумовская,309215.69
2774,Москва,4.0,12.0,2.0,52.0,12500000.0,2006.0,29.0,8.0,Перово,Перово,240384.62
2775,Москва,9.0,9.0,2.0,44.2,14500000.0,1965.0,32.0,7.0,Головинский,Речной вокзал,328054.3
2776,Москва,2.0,16.0,3.0,75.0,22000000.0,1975.0,46.0,10.0,Академический,Академическая,293333.33
2778,Москва,13.0,16.0,1.0,34.1,9500000.0,2006.0,19.5,9.5,Ярославский,ВДНХ,278592.38
2779,Москва,4.0,9.0,4.0,185.0,228700000.0,1998.0,120.0,59.0,Хамовники,Парк Культуры,1236216.22
2780,Москва,4.0,9.0,5.0,168.0,36000000.0,2000.0,113.0,18.0,Южное Бутово,Бунинская аллея,214285.71
2781,Москва,9.0,41.0,1.0,37.5,20000000.0,2024.0,16.8,14.5,Даниловский,Серпуховская,533333.33
2782,Москва,7.0,23.0,2.0,38.0,23500000.0,2018.0,,9.0,Хорошево-Мневники,Зорге,618421.05
2783,Москва,4.0,13.0,2.0,65.0,29990000.0,2023.0,35.0,14.0,Академический,Академическая,461384.62
2785,Москва,9.0,12.0,3.0,81.65,13339405.0,2026.0,48.2,16.9,Москва,Рассказовка,163372.99
2786,Москва,4.0,5.0,1.0,38.0,9350000.0,1960.0,18.0,6.0,Котловка,Нагорная,246052.63
2787,Москва,16.0,18.0,1.0,39.8,10800000.0,2018.0,18.0,11.0,Москва,Ольховая,271356.78
2788,Москва,3.0,10.0,3.0,83.0,23500000.0,1953.0,54.1,10.7,Бутырский,Дмитровская,283132.53
2789,Москва,12.0,17.0,3.0,75.0,25900000.0,1986.0,,10.0,Крылатское,Крылатское,345333.33
2790,Москва,18.0,22.0,1.0,38.6,10500000.0,1985.0,20.1,10.2,Братеево,Алма-Атинская,272020.73
2791,Москва,8.0,53.0,3.0,110.0,100000000.0,2012.0,65.0,28.0,Раменки,Ломоносовский проспект,909090.91
2792,Москва,37.0,52.0,1.0,40.3,18700000.0,2006.0,13.1,14.6,Покровское-Стрешнево,Тушинская,464019.85
2793,Москва,2.0,12.0,3.0,96.9,32734757.0,2024.0,46.5,,Филевский парк,Багратионовская,337819.99
2794,Москва,4.0,9.0,1.0,35.0,13700000.0,1977.0,,10.0,Даниловский,Тульская,391428.57
2795,Москва,5.0,19.0,2.0,60.3,16300000.0,2014.0,32.3,12.0,Москва,Мичуринец,270315.09
2796,Москва,3.0,8.0,3.0,136.6,110000000.0,2006.0,84.0,16.0,Басманный,Бауманская,805270.86
2797,Москва,13.0,17.0,1.0,39.1,10000000.0,2006.0,16.0,10.0,Москва,Потапово,255754.48
2798,Москва,5.0,27.0,3.0,74.5,22500000.0,2016.0,,10.0,Москва,Рассказовка,302013.42
2799,Москва,23.0,29.0,3.0,90.0,35000000.0,2006.0,46.0,33.0,Ховрино,Речной вокзал,388888.89
2800,Москва,5.0,9.0,3.0,63.0,21500000.0,1954.0,,8.0,Беговой,Беговая,341269.84
2801,Москва,1.0,5.0,3.0,41.4,11000000.0,1965.0,32.7,5.4,Гольяново,Черкизовская,265700.48
2802,Москва,3.0,9.0,2.0,33.7,10900000.0,1968.0,20.7,6.0,Южное Тушино,Сходненская,323442.14
2803,Москва,9.0,14.0,2.0,44.8,13500000.0,1974.0,28.5,5.9,Войковский,Красный Балтиец,301339.29
2804,Москва,16.0,19.0,1.0,17.9,18500000.0,2025.0,10.0,5.0,Академический,Академическая,1033519.55
2805,Москва,17.0,22.0,2.0,44.6,18700000.0,2023.0,30.0,10.0,Хорошевский,Хорошёвская,419282.51
2806,Москва,11.0,24.0,4.0,114.8,24911400.0,2006.0,,,Косино-Ухтомский,Улица Дмитриевского,216998.26
2807,Москва,1.0,22.0,1.0,46.2,14265000.0,2006.0,,,Бутырский,Фонвизинская,308766.23
2808,Москва,6.0,13.0,2.0,71.7,15431500.0,2006.0,,,Косино-Ухтомский,Улица Дмитриевского,215223.15
2809,Москва,3.0,14.0,3.0,167.0,309990000.0,2021.0,100.0,27.0,Хамовники,Киевская,1856227.54
2810,Москва,3.0,8.0,5.0,240.0,397100000.0,2016.0,189.0,20.0,Хамовники,Спортивная,1654583.33
2811,Москва,18.0,28.0,2.0,45.86,23645947.0,2026.0,,,Замоскворечье,Павелецкая,515611.58
2812,Москва,5.0,41.0,4.0,97.14,45500000.0,2024.0,,,Раменки,Кутузовская,468396.13
2813,Москва,29.0,33.0,3.0,95.0,58000000.0,2024.0,61.8,11.5,Даниловский,Серпуховская,610526.32
2814,Москва,40.0,48.0,2.0,44.7,18715087.0,2028.0,39.7,,Хорошево-Мневники,Народное Ополчение,418682.04
2815,Москва,12.0,29.0,2.0,46.2,17120000.0,2027.0,14.2,15.3,Нижегородский,Нижегородская,370562.77
2816,Москва,1.0,12.0,1.0,30.5,10700000.0,2006.0,15.0,7.8,Строгино,Строгино,350819.67
2817,Москва,4.0,15.0,2.0,59.2,22000000.0,2006.0,30.7,13.5,Чертаново Северное,Чертановская,371621.62
2818,Москва,10.0,14.0,2.0,39.0,12400000.0,1966.0,25.0,7.5,Щукино,Щукинская,317948.72
2819,Москва,2.0,18.0,3.0,88.2,28200000.0,2006.0,53.9,11.9,Кузьминки,Кузьминки,319727.89
2821,Москва,7.0,10.0,1.0,22.29,6727609.0,2025.0,10.1,4.3,Москва,Щербинка,301821.85
2822,Москва,7.0,10.0,3.0,76.08,15048294.0,2025.0,40.8,16.9,Москва,Щербинка,197795.66
2823,Москва,13.0,14.0,1.0,34.72,12250904.0,2024.0,21.9,4.2,Москва,Щербинка,352848.62
2824,Москва,13.0,14.0,1.0,32.8,8958326.0,2023.0,10.3,10.6,Москва,Щербинка,273119.7
2825,Москва,3.0,14.0,2.0,62.6,15106666.0,2025.0,35.6,5.7,Москва,Щербинка,241320.54
2826,Москва,3.0,14.0,3.0,78.51,16342371.0,2025.0,49.4,8.0,Москва,Щербинка,208156.55
2827,Москва,9.0,10.0,5.0,100.0,69000000.0,2006.0,40.0,10.0,Пресненский,Шелепиха,690000.0
2828,Москва,5.0,22.0,1.0,38.0,11700000.0,1993.0,19.0,10.0,Митино,Пятницкое шоссе,307894.74
2829,Москва,9.0,14.0,2.0,77.0,59900000.0,2021.0,27.0,25.0,Раменки,Минская,777922.08
2830,Москва,15.0,24.0,1.0,43.0,15000000.0,2017.0,23.0,13.5,Орехово-Борисово Северное,Домодедовская,348837.21
2831,Москва,10.0,42.0,1.0,42.0,26000000.0,2023.0,13.0,20.0,Хорошево-Мневники,Шелепиха,619047.62
2832,Москва,4.0,9.0,3.0,86.3,38500000.0,2006.0,45.0,19.0,Люблино,Люблино,446118.19
2833,Москва,2.0,12.0,1.0,39.4,7999999.0,1981.0,20.2,8.4,Силино,Зеленоград — Крюково,203045.66
2834,Москва,27.0,52.0,3.0,124.0,118000000.0,2012.0,82.0,17.3,Раменки,Ломоносовский проспект,951612.9
2835,Москва,3.0,17.0,2.0,53.4,16600000.0,1986.0,31.9,9.2,Крылатское,Крылатское,310861.42
2836,Москва,15.0,32.0,4.0,147.2,75000000.0,2008.0,108.0,35.0,Щукино,Щукинская,509510.87
2837,Москва,3.0,14.0,2.0,69.5,23400000.0,1999.0,42.0,13.5,Коптево,Красный Балтиец,336690.65
2838,Москва,25.0,31.0,2.0,63.8,20500000.0,2020.0,36.6,10.2,Северное Измайлово,Щёлковская,321316.61
2840,Москва,22.0,26.0,2.0,40.4,18500000.0,2015.0,,10.0,Головинский,Водный стадион,457920.79
2841,Москва,5.0,5.0,2.0,58.0,33000000.0,1958.0,35.0,8.0,Хамовники,Спортивная,568965.52
2842,Москва,7.0,17.0,2.0,54.0,17400000.0,2021.0,28.0,11.0,Перово,Перово,322222.22
2843,Москва,2.0,5.0,2.0,42.2,15000000.0,1960.0,,6.0,Гагаринский,Ленинский проспект,355450.24
2844,Москва,8.0,16.0,1.0,37.8,10950000.0,1980.0,19.1,8.0,Ярославский,Медведково,289682.54
2845,Москва,5.0,5.0,4.0,98.0,27500000.0,1955.0,72.0,8.0,Текстильщики,Волжская,280612.24
2846,Москва,5.0,12.0,1.0,35.0,11600000.0,1969.0,19.9,9.7,Раменки,Поклонная,331428.57
2847,Москва,8.0,15.0,1.0,36.6,12500000.0,2021.0,22.0,9.0,Москва,Потапово,341530.05
2848,Москва,8.0,24.0,3.0,73.6,38600000.0,2023.0,48.0,6.8,Нагатинский затон,Технопарк,524456.52
2849,Москва,6.0,12.0,1.0,38.9,14300000.0,1981.0,,8.6,Строгино,Строгино,367609.25
2850,Москва,1.0,9.0,4.0,64.0,12490000.0,1976.0,46.3,6.0,Орехово-Борисово Южное,Домодедовская,195156.25
2851,Москва,10.0,44.0,3.0,95.0,41000000.0,2007.0,,15.0,Хорошевский,Беговая,431578.95
2852,Москва,5.0,10.0,1.0,39.4,14000000.0,1982.0,20.2,10.5,Измайлово,Первомайская,355329.95
2853,Москва,7.0,17.0,1.0,38.6,14500000.0,2006.0,19.0,6.9,Свиблово,Ботанический сад,375647.67
2854,Москва,7.0,12.0,2.0,52.0,12250000.0,2006.0,30.0,8.6,Бибирево,Бибирево,235576.92
2855,Москва,10.0,44.0,3.0,87.3,68500000.0,2019.0,,10.0,Пресненский,Улица 1905 года,784650.63
2856,Москва,3.0,14.0,3.0,83.6,21000000.0,1994.0,53.6,8.3,Восточное Дегунино,Бескудниково,251196.17
2857,Москва,22.0,85.0,2.0,84.6,59999999.0,2006.0,55.0,10.0,Пресненский,Деловой центр,709219.85
2858,Москва,9.0,12.0,2.0,39.1,15000000.0,1967.0,23.5,7.0,Алексеевский,ВДНХ,383631.71
2859,Москва,10.0,16.0,1.0,38.1,9500000.0,2006.0,19.2,8.6,Лианозово,Лианозово,249343.83
2860,Москва,5.0,17.0,2.0,51.0,13500000.0,1994.0,30.5,8.5,Выхино-Жулебино,Лермонтовский проспект,264705.88
2861,Москва,2.0,5.0,2.0,40.6,16500000.0,2020.0,,12.0,Гольяново,Черкизовская,406403.94
2862,Москва,1.0,5.0,2.0,43.1,12490000.0,1962.0,28.9,5.8,Аэропорт,Красный Балтиец,289791.18
2863,Москва,30.0,32.0,2.0,42.0,27000000.0,2015.0,30.0,10.0,Хорошево-Мневники,Народное Ополчение,642857.14
2864,Москва,1.0,8.0,3.0,62.0,19800000.0,1960.0,51.0,6.0,Соколиная гора,Измайлово,319354.84
2865,Москва,4.0,5.0,1.0,31.1,10400000.0,2006.0,18.0,5.5,Гольяново,Гольяново,334405.14
2866,Москва,15.0,24.0,2.0,39.0,14200000.0,2021.0,10.0,20.0,Метрогородок,Бульвар Рокоссовского,364102.56
2867,Москва,12.0,12.0,1.0,27.0,6813000.0,2019.0,26.9,,Москва,Филатов Луг,252333.33
2868,Москва,2.0,9.0,3.0,57.0,13400000.0,2006.0,39.0,7.0,Северное Тушино,Планерная,235087.72
2869,Москва,4.0,24.0,2.0,66.0,35000000.0,2022.0,40.0,6.0,Хорошево-Мневники,Шелепиха,530303.03
2870,Москва,9.0,9.0,1.0,34.0,11580000.0,1968.0,,7.0,Зюзино,Зюзино,340588.24
2871,Москва,4.0,57.0,1.0,27.0,15500000.0,2024.0,14.9,6.0,Марьина роща,Марьина Роща,574074.07
2872,Москва,4.0,9.0,4.0,87.4,16500000.0,1970.0,61.0,6.2,Вешняки,Выхино,188787.19
2873,Москва,17.0,18.0,2.0,36.0,12800000.0,2022.0,22.0,9.0,Западное Дегунино,Ховрино,355555.56
2874,Москва,9.0,12.0,3.0,64.1,20000000.0,1970.0,44.6,9.2,Солнцево,Говорово,312012.48
2875,Москва,8.0,33.0,2.0,64.0,76000000.0,2006.0,31.5,10.2,Таганский,Китай-город,1187500.0
2876,Москва,9.0,9.0,3.0,80.5,35500000.0,1960.0,62.0,11.5,Басманный,Электрозаводская,440993.79
2877,Москва,4.0,14.0,1.0,42.5,16500000.0,1988.0,20.4,8.2,Ховрино,Грачёвская,388235.29
2878,Москва,20.0,21.0,1.0,31.2,15580552.0,2023.0,18.5,5.0,Хорошево-Мневники,Зорге,499376.67
2879,Москва,2.0,9.0,3.0,88.4,31446425.0,2023.0,,,Хорошево-Мневники,Зорге,355728.79
2880,Москва,3.0,12.0,1.0,36.0,13600000.0,1967.0,19.0,9.7,Новогиреево,Новогиреево,377777.78
2881,Москва,6.0,9.0,3.0,75.0,19000000.0,1974.0,47.1,10.8,Коптево,Лихоборы,253333.33
2882,Москва,13.0,25.0,3.0,113.0,69900000.0,2006.0,70.0,15.0,Нагатино-Садовники,Нагатинская,618584.07
2883,Москва,3.0,12.0,4.0,100.2,19400000.0,2024.0,54.8,28.8,Москва,Прокшино,193612.77
2884,Москва,7.0,8.0,4.0,260.8,125000000.0,2006.0,170.0,20.0,Раменки,Минская,479294.48
2885,Москва,1.0,9.0,2.0,57.3,12900000.0,2006.0,26.1,15.3,Коптево,Красный Балтиец,225130.89
2886,Москва,2.0,9.0,2.0,41.0,17750000.0,2006.0,,7.5,Проспект Вернадского,Проспект Вернадского,432926.83
2887,Москва,1.0,9.0,3.0,57.3,12900000.0,2006.0,36.0,6.0,Коптево,Красный Балтиец,225130.89
2888,Москва,3.0,15.0,1.0,33.0,9350000.0,2019.0,,8.0,Москва,Потапово,283333.33
2889,Москва,7.0,27.0,2.0,74.7,24900000.0,2021.0,35.0,6.0,Алексеевский,Алексеевская,333333.33
2890,Москва,6.0,17.0,3.0,100.0,54990000.0,2016.0,56.0,12.0,Раменки,Раменки,549900.0
2891,Москва,1.0,5.0,3.0,104.0,27000000.0,1957.0,73.0,8.2,Ростокино,Улица Сергея Эйзенштейна,259615.38
2892,Москва,7.0,9.0,2.0,45.0,10900000.0,2006.0,28.5,7.0,Выхино-Жулебино,Юго-Восточная,242222.22
2893,Москва,8.0,48.0,2.0,46.3,19229776.0,2028.0,41.3,,Хорошево-Мневники,Народное Ополчение,415329.94
2894,Москва,4.0,48.0,3.0,60.3,23294169.0,2028.0,55.3,,Хорошево-Мневники,Народное Ополчение,386304.63
2895,Москва,2.0,8.0,1.0,29.3,12700000.0,1960.0,17.8,4.6,Раменки,Ломоносовский проспект,433447.1
2896,Москва,5.0,14.0,2.0,53.0,21990000.0,2001.0,30.0,10.0,Нагорный,Варшавская,414905.66
2897,Москва,12.0,29.0,1.0,30.2,12480000.0,2027.0,8.5,13.7,Нижегородский,Нижегородская,413245.03
2898,Москва,3.0,6.0,2.0,54.2,32700000.0,1941.0,30.4,12.2,Беговой,Динамо,603321.03
2899,Москва,3.0,12.0,1.0,33.0,7790000.0,1971.0,16.0,9.0,Головинский,Моссельмаш,236060.61
2900,Москва,13.0,13.0,2.0,45.0,16100000.0,1975.0,,6.0,Войковский,Красный Балтиец,357777.78
2901,Москва,3.0,17.0,2.0,64.5,23600000.0,1998.0,,12.3,Нижегородский,Нижегородская,365891.47
2902,Москва,3.0,9.0,3.0,70.9,14500000.0,1974.0,49.0,12.0,Москва,Троицк,204513.4
2903,Москва,1.0,5.0,3.0,84.0,17000000.0,1958.0,53.4,7.0,Покровское-Стрешнево,Тушинская,202380.95
2904,Москва,7.0,14.0,2.0,45.4,13200000.0,2006.0,28.7,5.8,Очаково-Матвеевское,Матвеевская,290748.9
2905,Москва,2.0,14.0,1.0,36.2,11900000.0,2006.0,18.1,8.1,Рязанский,Окская,328729.28
2906,Москва,12.0,17.0,3.0,75.5,21500000.0,1986.0,50.4,10.5,Крылатское,Крылатское,284768.21
2907,Москва,2.0,15.0,1.0,40.6,13500000.0,2019.0,20.0,13.0,Москва,Саларьево,332512.32
2908,Москва,1.0,5.0,3.0,62.0,16850000.0,1962.0,51.0,6.0,Кузьминки,Кузьминки,271774.19
2909,Москва,9.0,13.0,2.0,50.5,20500000.0,1971.0,27.5,18.0,Даниловский,Автозаводская,405940.59
2910,Москва,2.0,11.0,3.0,79.3,30000000.0,2002.0,50.3,10.6,Басманный,Электрозаводская,378310.21
2911,Москва,4.0,9.0,2.0,60.9,19000000.0,2021.0,30.4,14.9,Москва,Румянцево,311986.86
2912,Москва,3.0,9.0,4.0,63.0,18500000.0,1970.0,46.0,6.0,Хорошево-Мневники,Народное Ополчение,293650.79
2913,Москва,6.0,17.0,1.0,39.0,11600000.0,2006.0,19.0,8.0,Орехово-Борисово Северное,Орехово,297435.9
2914,Москва,35.0,53.0,4.0,173.0,170000000.0,2006.0,118.0,50.0,Раменки,Ломоносовский проспект,982658.96
2915,Москва,2.0,5.0,1.0,34.0,15500000.0,1957.0,20.0,7.0,Беговой,Динамо,455882.35
2916,Москва,8.0,10.0,3.0,72.5,23700000.0,2024.0,45.0,11.5,Измайлово,Партизанская,326896.55
2917,Москва,3.0,18.0,2.0,51.0,24000000.0,2006.0,30.0,16.0,Аэропорт,Аэропорт,470588.24
2918,Москва,10.0,25.0,3.0,79.1,30000000.0,2023.0,40.0,12.5,Щукино,Щукинская,379266.75
2919,Москва,5.0,9.0,1.0,30.0,8700000.0,1970.0,19.5,5.5,Богородское,Бульвар Рокоссовского,290000.0
2920,Москва,7.0,20.0,1.0,39.5,10500000.0,2023.0,17.5,9.0,Бирюлево Восточное,Царицыно,265822.78
2921,Москва,10.0,12.0,1.0,35.0,9200000.0,1969.0,20.0,10.0,Головинский,Моссельмаш,262857.14
2922,Москва,20.0,20.0,1.0,39.0,10622576.0,2027.0,11.8,,Москва,Филатов Луг,272373.74
2923,Москва,19.0,20.0,3.0,80.8,18174305.0,2027.0,41.2,,Москва,Филатов Луг,224929.52
2924,Москва,4.0,33.0,2.0,52.0,27000000.0,2023.0,,10.0,Хорошево-Мневники,Шелепиха,519230.77
2925,Москва,5.0,5.0,2.0,43.4,11000000.0,1962.0,25.8,6.0,Перово,Перово,253456.22
2926,Москва,1.0,9.0,2.0,47.1,12000000.0,1977.0,29.7,9.4,Орехово-Борисово Южное,Домодедовская,254777.07
2927,Москва,10.0,12.0,2.0,39.0,9500000.0,1966.0,23.5,6.5,Северное Измайлово,Щёлковская,243589.74
2928,Москва,4.0,12.0,2.0,52.6,13900000.0,1968.0,31.5,9.2,Нижегородский,Калитники,264258.56
2929,Москва,4.0,19.0,1.0,38.0,8499000.0,2011.0,21.0,8.0,Москва,Рассказовка,223657.89
2930,Москва,3.0,26.0,1.0,34.0,14850000.0,2024.0,,12.0,Нагатино-Садовники,Нагатинская,436764.71
2931,Москва,16.0,52.0,1.0,43.9,24597170.0,2028.0,14.4,,Хорошевский,Москва,560300.0
2932,Москва,7.0,12.0,3.0,62.0,13500000.0,2006.0,,6.6,Чертаново Южное,Покровское,217741.94
2933,Москва,2.0,12.0,2.0,50.9,20000000.0,1987.0,30.0,9.0,Свиблово,Свиблово,392927.31
2934,Москва,3.0,3.0,3.0,100.8,250000000.0,2006.0,85.8,10.0,Пресненский,Маяковская,2480158.73
2935,Москва,6.0,20.0,1.0,30.0,15600000.0,2006.0,,10.0,Ховрино,Беломорская,520000.0
2936,Москва,3.0,15.0,2.0,48.9,11100000.0,2025.0,22.8,10.6,Москва,Ольховая,226993.87
2937,Москва,11.0,14.0,3.0,67.0,38800000.0,2006.0,30.0,20.0,Раменки,Минская,579104.48
2938,Москва,22.0,30.0,1.0,27.6,13714440.0,2027.0,10.4,,Покровское-Стрешнево,Тушинская,496900.0
2939,Москва,11.0,17.0,3.0,81.7,13500000.0,2006.0,52.0,10.1,Некрасовка,Некрасовка,165238.68
2940,Москва,6.0,13.0,2.0,65.43,85000000.0,2024.0,,,Дорогомилово,Парк Победы,1299098.27
2941,Москва,7.0,16.0,3.0,65.7,17500000.0,1982.0,40.4,8.5,Бабушкинский,Бабушкинская,266362.25
2942,Москва,7.0,9.0,3.0,87.0,22100000.0,2024.0,41.6,25.9,Москва,Потапово,254022.99
2943,Москва,3.0,55.0,1.0,41.74,18500000.0,2024.0,23.8,7.4,Марьина роща,Марьина Роща,443219.93
2945,Москва,13.0,17.0,1.0,33.7,9350000.0,2013.0,,14.0,Солнцево,Мещерская,277448.07
2946,Москва,23.0,25.0,1.0,20.4,8990000.0,2024.0,9.4,6.0,Нижегородский,Нижегородская,440686.27
2947,Москва,12.0,15.0,1.0,33.0,12000000.0,2020.0,17.3,8.0,Москва,Новомосковская,363636.36
2948,Москва,1.0,9.0,3.0,55.8,14800000.0,1973.0,37.6,6.0,Северное Медведково,Медведково,265232.97
2949,Москва,6.0,9.0,1.0,16.2,6700000.0,1978.0,,4.0,Головинский,Грачёвская,413580.25
2950,Москва,11.0,12.0,2.0,51.5,11300000.0,1971.0,,9.5,Матушкино,Зеленоград — Крюково,219417.48
2951,Москва,15.0,16.0,2.0,50.0,16800000.0,1983.0,29.0,10.0,Люблино,Люблино,336000.0
2952,Москва,6.0,6.0,5.0,129.0,39998000.0,2006.0,60.0,30.0,Восточное Измайлово,Первомайская,310062.02
2953,Москва,13.0,14.0,1.0,24.5,6200000.0,2021.0,10.2,6.3,Москва,Санино,253061.22
2954,Москва,10.0,10.0,2.0,57.5,18100000.0,2024.0,33.8,10.0,Измайлово,Партизанская,314782.61
2955,Москва,8.0,24.0,2.0,58.0,15100000.0,1997.0,,9.0,Орехово-Борисово Южное,Домодедовская,260344.83
2956,Москва,13.0,13.0,2.0,40.8,30000000.0,2022.0,25.8,10.0,Даниловский,Остров мечты,735294.12
2957,Москва,18.0,26.0,1.0,34.5,16500000.0,2024.0,12.0,15.0,Нагатино-Садовники,Нагатинская,478260.87
2958,Москва,18.0,26.0,1.0,33.5,16500000.0,2024.0,12.0,14.0,Нагатино-Садовники,Нагатинская,492537.31
2959,Москва,5.0,12.0,2.0,60.0,45000000.0,2006.0,,27.0,Аэропорт,Динамо,750000.0
2960,Москва,4.0,14.0,1.0,34.3,14450000.0,2017.0,17.3,8.5,Солнцево,Говорово,421282.8
2961,Москва,18.0,40.0,4.0,114.5,45000000.0,2012.0,80.0,15.0,Кунцево,Молодёжная,393013.1
2962,Москва,9.0,17.0,2.0,53.5,13500000.0,2006.0,32.2,9.0,Солнцево,Солнцево,252336.45
2963,Москва,3.0,5.0,4.0,83.4,70000000.0,2006.0,55.7,11.0,Пресненский,Пушкинская,839328.54
2964,Москва,5.0,5.0,1.0,32.9,6350000.0,1968.0,17.0,7.8,Южное Бутово,Щербинка,193009.12
2965,Москва,4.0,17.0,3.0,78.4,18900000.0,2006.0,47.0,10.2,Митино,Митино,241071.43
2966,Москва,4.0,5.0,2.0,43.2,11900000.0,2006.0,27.2,5.8,Измайлово,Измайловская,275462.96
2967,Москва,4.0,5.0,2.0,50.0,13400000.0,1960.0,30.0,8.0,Восточное Измайлово,Первомайская,268000.0
2968,Москва,2.0,14.0,3.0,92.8,25500000.0,2022.0,58.0,28.0,Москва,Потапово,274784.48
2969,Москва,6.0,14.0,2.0,55.3,14700000.0,2006.0,35.0,12.0,Москва,Пыхтино,265822.78
2970,Москва,3.0,9.0,2.0,43.2,11850000.0,2020.0,13.0,23.0,Москва,Потапово,274305.56
2971,Москва,1.0,5.0,4.0,95.3,31500000.0,2006.0,72.1,8.4,Марьина роща,Марьина Роща,330535.15
2972,Москва,7.0,12.0,2.0,38.5,11550000.0,1966.0,23.5,6.4,Головинский,Водный стадион,300000.0
2973,Москва,9.0,12.0,1.0,32.0,8900000.0,1974.0,16.8,7.7,Орехово-Борисово Северное,Домодедовская,278125.0
2974,Москва,3.0,41.0,3.0,74.4,41500000.0,2006.0,40.0,16.0,Раменки,Кутузовская,557795.7
2975,Москва,1.0,9.0,2.0,45.5,10200000.0,1969.0,28.0,6.0,Матушкино,Зеленоград — Крюково,224175.82
2976,Москва,9.0,9.0,1.0,32.6,11150000.0,1979.0,18.9,6.5,Котловка,Крымская,342024.54
2977,Москва,3.0,8.0,2.0,33.7,26500000.0,1931.0,25.9,5.0,Хамовники,Кропоткинская,786350.15
2978,Москва,5.0,9.0,2.0,38.0,14000000.0,2006.0,23.4,6.2,Преображенское,Черкизовская,368421.05
2979,Москва,7.0,14.0,2.0,41.0,15000000.0,1974.0,25.0,7.0,Щукино,Октябрьское поле,365853.66
2980,Москва,14.0,16.0,3.0,65.1,17000000.0,1978.0,44.8,8.1,Теплый Стан,Генерала Тюленева,261136.71
2981,Москва,9.0,11.0,2.0,53.2,11000000.0,2021.0,30.8,10.2,Москва,Щербинка,206766.92
2982,Москва,31.0,31.0,1.0,38.0,15990000.0,2023.0,,16.0,Нижегородский,Нижегородская,420789.47
2983,Москва,17.0,34.0,1.0,42.4,16199999.0,2027.0,14.6,6.0,Щукино,Стрешнево,382075.45
2984,Москва,25.0,25.0,1.0,33.2,13999999.0,2024.0,14.5,11.8,Нижегородский,Нижегородская,421686.72
2985,Москва,4.0,5.0,3.0,65.4,22000000.0,1953.0,42.8,7.5,Пресненский,Москва-Сити,336391.44
2986,Москва,9.0,15.0,2.0,83.0,38000000.0,1986.0,41.0,11.7,Крылатское,Крылатское,457831.33
2987,Москва,3.0,4.0,1.0,32.5,8000000.0,1962.0,19.6,5.8,Восточный,Щёлковская,246153.85
2989,Москва,2.0,25.0,2.0,63.0,22890000.0,2022.0,35.0,11.0,Ломоносовский,Профсоюзная,363333.33
2990,Москва,8.0,18.0,2.0,60.9,16100000.0,2023.0,,15.0,Останкинский,Ботанический сад,264367.82
2991,Москва,5.0,9.0,2.0,44.5,12200000.0,1963.0,28.0,6.0,Войковский,Водный стадион,274157.3
2992,Москва,19.0,29.0,3.0,85.5,45000000.0,2025.0,49.0,13.5,Нагатино-Садовники,Нагатинская,526315.79
2993,Москва,4.0,18.0,2.0,49.1,10998400.0,2023.0,,10.0,Останкинский,Ботанический сад,224000.0
2994,Москва,4.0,9.0,2.0,36.7,10000000.0,1964.0,22.7,7.5,Северное Измайлово,Щёлковская,272479.56
2995,Москва,6.0,7.0,1.0,36.4,14200000.0,2006.0,11.0,15.0,Таганский,Калитники,390109.89
2996,Москва,37.0,52.0,1.0,40.3,18300000.0,2024.0,13.1,14.6,Покровское-Стрешнево,Тушинская,454094.29
2997,Москва,4.0,21.0,2.0,54.5,58000000.0,2023.0,35.0,10.0,Пресненский,Улица 1905 года,1064220.18
2998,Москва,15.0,25.0,2.0,58.1,14500000.0,2016.0,33.0,12.0,Москва,Новомосковская,249569.71
2999,Москва,8.0,9.0,3.0,58.9,13199000.0,1969.0,35.5,7.0,Выхино-Жулебино,Юго-Восточная,224091.68
3000,Москва,14.0,22.0,3.0,74.0,24000000.0,2006.0,45.0,10.5,Митино,Митино,324324.32
3001,Москва,4.0,21.0,2.0,57.5,55000000.0,2023.0,35.0,10.0,Пресненский,Улица 1905 года,956521.74
3002,Видное,20.0,24.0,1.0,38.1,9442895.0,2025.0,14.0,10.9,Видное,Бирюлёво,247845.01
3003,Видное,6.0,17.0,1.0,44.4,8000000.0,2010.0,,8.0,Видное,Домодедовская,180180.18
3004,Видное,1.0,5.0,1.0,32.0,5100000.0,1972.0,18.0,6.0,Видное,Домодедовская,159375.0
3005,Видное,3.0,4.0,1.0,30.6,4940161.0,2024.0,,,Видное,Битца,161443.17
3006,Видное,2.0,7.0,1.0,40.8,6990000.0,2006.0,29.8,6.0,Видное,Домодедовская,171323.53
3007,Видное,20.0,24.0,1.0,34.4,9786800.0,2026.0,10.8,13.8,Видное,Бирюлёво,284500.0
