,location,floor,floors_count,rooms_count,total_meters,price,year_of_construction,living_meters,kitchen_meters,district,underground,meter_price
388,Химки,3.0,26.0,1.0,41.9,10600000.0,2017.0,16.1,14.4,Химки,Молжаниново,252983.29
389,Химки,13.0,17.0,1.0,33.3,7900000.0,2016.0,16.0,8.4,Химки,Химки,237237.24
390,Химки,15.0,18.0,1.0,29.8,8000000.0,2020.0,19.0,10.8,Химки,Химки,268456.38
391,Химки,10.0,26.0,1.0,38.0,9500000.0,2017.0,14.0,12.0,Химки,Молжаниново,250000.0
392,Химки,16.0,25.0,1.0,41.8,10000000.0,2007.0,24.0,12.0,Химки,Химки,239234.45
393,Химки,9.0,18.0,1.0,33.0,8150000.0,2019.0,19.0,8.0,Химки,Химки,246969.7
394,Химки,19.0,24.0,1.0,50.3,10400000.0,2006.0,,9.6,Химки,Химки,206759.44
395,Химки,17.0,17.0,1.0,36.06,6700000.0,2020.0,16.7,9.2,Химки,Сходня,185801.44
396,Химки,3.0,8.0,1.0,31.3,8000000.0,2013.0,,,Химки,Шереметьевская,255591.05
397,Химки,11.0,17.0,1.0,43.0,7500000.0,2017.0,16.0,15.0,Химки,Новоподрезково,174418.6
398,Химки,2.0,8.0,1.0,39.5,7200000.0,2022.0,18.0,11.0,Химки,Шереметьевская,182278.48
399,Химки,1.0,17.0,1.0,36.7,6700000.0,2014.0,18.9,9.3,Химки,Подрезково,182561.31
400,Химки,16.0,17.0,1.0,32.8,8400000.0,2006.0,14.0,8.1,Химки,Молжаниново,256097.56
401,Химки,12.0,17.0,1.0,41.2,8100000.0,2018.0,20.0,10.0,Химки,Молжаниново,196601.94
402,Химки,5.0,18.0,1.0,38.0,7900000.0,2006.0,,,мкр. Старые Химки,Химки,207894.74
403,Химки,8.0,19.0,1.0,44.0,8000000.0,2006.0,,13.0,Химки,Сходня,181818.18
404,Химки,11.0,12.0,1.0,40.7,8000000.0,2016.0,18.0,9.0,Химки,Молжаниново,196560.2
405,Химки,18.0,25.0,1.0,42.1,8000000.0,2011.0,18.0,10.0,Химки,Молжаниново,190023.75
406,Химки,1.0,17.0,1.0,42.2,8018000.0,2020.0,17.2,9.0,Химки,Сходня,190000.0
407,Химки,14.0,27.0,1.0,37.9,8000000.0,2005.0,20.7,10.2,Химки,Молжаниново,211081.79
408,Химки,8.0,25.0,1.0,41.6,8000000.0,2007.0,18.0,10.0,Химки,Химки,192307.69
409,Химки,3.0,3.0,1.0,43.3,8000000.0,2006.0,21.3,11.0,Химки,Планерная,184757.51
410,Химки,22.0,22.0,1.0,40.0,8100000.0,2006.0,20.0,10.5,Химки,Молжаниново,202500.0
411,Химки,9.0,18.0,1.0,33.0,8150000.0,2019.0,19.0,7.0,Химки,Химки,246969.7
412,Химки,12.0,17.0,1.0,38.1,8200000.0,2006.0,19.0,8.0,Химки,Сходненская,215223.1
413,Химки,23.0,25.0,1.0,38.1,8299999.0,2009.0,17.8,10.4,Химки,Молжаниново,217847.74
